network_id,network_type,network_scale,network_metal,source,target,selected_lag_bic,selected_lag_aic,f_stat,p_value,fdr_p_value,significant_5pct,n_obs,full_model_aic,full_model_bic
same_scale_STC,same_scale_cross_metal,STC,,gold_futures_STC,silver_futures_STC,5,5,81.77756445832122,7.735237758516722e-81,3.18249782064688e-79,True,3095,13291.575441657453,13357.988416693759
same_scale_STC,same_scale_cross_metal,STC,,gold_futures_STC,platinum_futures_STC,5,5,26.93153597770235,9.567914365033147e-27,1.1980692770128463e-25,True,3095,11932.391815747917,11998.804790784223
same_scale_STC,same_scale_cross_metal,STC,,gold_futures_STC,palladium_futures_STC,5,5,12.12832448373173,1.1687931483893251e-11,5.1786527190173173e-11,True,3095,13833.973195688783,13900.386170725089
same_scale_STC,same_scale_cross_metal,STC,,gold_futures_STC,gold_spot_STC,5,5,77.52976374550536,8.757919799925286e-77,2.8025343359760914e-75,True,3095,8327.654801237262,8394.067776273569
same_scale_STC,same_scale_cross_metal,STC,,gold_futures_STC,silver_spot_STC,5,5,45.81866714087086,8.677495061070427e-46,2.4991185775882833e-44,True,3095,12672.924914706578,12739.337889742885
same_scale_STC,same_scale_cross_metal,STC,,gold_futures_STC,platinum_spot_STC,5,5,28.253714536083105,4.326977500658371e-28,6.230847600948053e-27,True,3095,11550.588101613539,11617.001076649845
same_scale_STC,same_scale_cross_metal,STC,,gold_futures_STC,palladium_spot_STC,5,5,10.341509853465974,7.49396767494746e-10,2.697828362981086e-09,True,3095,13410.487684592274,13476.90065962858
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,gold_futures_STC,5,5,5.5227209362409235,4.549260535301723e-05,0.00011009975077032741,True,3095,8237.20105122367,8303.614026259977
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,platinum_futures_STC,5,5,1.112785801605026,0.35123644990777647,0.4322910152711095,False,3095,12059.083924229155,12125.496899265461
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,palladium_futures_STC,5,5,0.31446040471758147,0.904534944215512,0.9370721724247031,False,3095,13892.663002203404,13959.07597723971
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,gold_spot_STC,5,5,4.341886993313812,0.0006118149934349895,0.0012585908436376924,True,3095,8672.399034023474,8738.81200905978
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,silver_spot_STC,5,5,11.228196216756833,9.533818008883243e-11,3.7104589007545595e-10,True,3095,12838.862095944562,12905.275070980868
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,platinum_spot_STC,5,5,2.7135904350573403,0.018774876621522097,0.030377328466282945,True,3095,11675.622861464211,11742.035836500518
same_scale_STC,same_scale_cross_metal,STC,,silver_futures_STC,palladium_spot_STC,5,5,2.628858688676749,0.02225533322226967,0.03544003724488059,True,3095,13448.786300627555,13515.199275663861
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,gold_futures_STC,5,5,7.200123158331399,1.0368928227346638e-06,3.016415484319022e-06,True,3095,8228.870042871175,8295.28301790748
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,silver_futures_STC,5,5,36.66110157045678,1.328468848652422e-36,2.3912439275743595e-35,True,3095,13498.207572858077,13564.620547894383
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,palladium_futures_STC,5,5,3.523161137002081,0.0035301954599776084,0.006394316304865102,True,3095,13876.612171274499,13943.025146310805
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,gold_spot_STC,5,5,6.2934030442193,8.088195494928742e-06,2.1568521319809977e-05,True,3095,8662.690344391021,8729.103319427328
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,silver_spot_STC,5,5,6.906110567309542,2.0229517772396013e-06,5.711863841617698e-06,True,3095,12860.235494714847,12926.648469751153
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,platinum_spot_STC,5,5,12.425826144866294,5.8345376943862214e-12,2.6672172317194155e-11,True,3095,11627.478348273607,11693.891323309914
same_scale_STC,same_scale_cross_metal,STC,,platinum_futures_STC,palladium_spot_STC,5,5,4.113689458001277,0.0010021187917205357,0.0020042375834410714,True,3095,13441.376164720838,13507.789139757144
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,gold_futures_STC,5,5,6.198402745777142,1.0017652989363964e-05,2.6468661109512124e-05,True,3095,8233.842503189822,8300.255478226129
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,silver_futures_STC,2,5,13.71322787810611,1.1767131208429645e-06,3.3889337880277374e-06,True,3098,13655.329227284126,13685.52178738901
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,platinum_futures_STC,5,5,1.5615540888170396,0.16750857356627505,0.22438357761435915,False,3095,12056.836950616405,12123.249925652712
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,gold_spot_STC,5,5,2.921982466909388,0.012303458039648238,0.020307109003060556,True,3095,8679.48217430255,8745.895149338856
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,silver_spot_STC,5,5,4.05166748140373,0.001145252877340331,0.0022747091632690716,True,3095,12874.432532405719,12940.845507442025
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,platinum_spot_STC,5,5,2.920554423669633,0.012339389151165269,0.020307109003060556,True,3095,11674.589072081684,11741.00204711799
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,palladium_spot_STC,5,5,3.5479021876812515,0.003350727365812569,0.006225867621638838,True,3095,13444.197667834607,13510.610642870914
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,gold_futures_STC,5,5,20.91092149633386,1.3111775263904003e-20,1.0205922367579333e-19,True,3095,8161.601722592044,8228.01469762835
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,silver_futures_STC,5,5,37.15017629959605,4.269493899831631e-37,8.197428287676733e-36,True,3095,13495.89202551209,13562.305000548396
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,platinum_futures_STC,5,5,4.241012375151628,0.0007612595470831417,0.001543963025070034,True,3095,12043.454799343803,12109.867774380109
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,palladium_futures_STC,5,5,1.5500362467670123,0.17090681371259886,0.2278757516167985,False,3095,13886.47244226997,13952.885417306275
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,silver_spot_STC,5,5,9.298014342519206,8.403840583167817e-09,2.8143094045957337e-08,True,3095,12848.388916399024,12914.80189143533
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,platinum_spot_STC,5,5,3.6117752867452615,0.0029277132227762855,0.0055472461063129615,True,3095,11671.138909963487,11737.551884999793
