date,gold_futures,silver_futures,platinum_futures,palladium_futures,gold_spot,silver_spot,platinum_spot,palladium_spot
2012-01-04,0.7593712576551503,-1.6192891615337768,-0.7092352203067698,-2.266773864093441,0.4882442581145341,-1.8685782334058931,-0.9354078825252188,-1.7185834473151473
2012-01-05,0.4578082729902455,0.6815911852639189,-0.33716184084031653,-1.4725523777744165,0.6000339669721022,0.6153865574378248,-0.29721909927609147,-1.7486359682169272
2012-01-06,-0.2038988626960503,-2.114637516073614,-1.0396868531001857,-3.8683693102034233,-0.239581711274095,-2.0314005471476104,-0.6755581247971598,-3.99893346136988
2012-01-09,-0.5395529229432761,0.34455789765632794,1.383860824929961,0.6310190018612438,-0.413204529147837,0.9347480212682502,1.7330230369398514,0.48840145924247125
2012-01-10,1.4446479173396476,3.5261430827087104,2.830915736255424,2.6893179338182804,1.322782845865511,3.0541905650234735,2.4247810776458323,2.8813517904746178
2012-01-11,0.49524725968073113,0.2512353720777405,2.187739993570137,1.0464757740908048,0.6594517496086638,0.2336839654641043,1.9319360402636931,1.2544264845856468
2012-01-12,0.49280664332034263,0.779821994325891,-0.04002001053908799,-1.3294948309298782,0.33720082622190617,0.83015585504147,0.2012073113420776,-1.0967599166462172
2012-01-13,-1.0309684118287699,-2.0186448124300593,-0.36759832865858044,0.7373160706487525,-0.5595849354670612,-1.633641931969354,-0.2012073113420776,0.3930822671437184
2012-01-16,1.5092788929479184,2.0551538820202886,0.5542215040947873,0.3121101160338924,0.25280920896992853,0.736774933693285,0.5022612266292192,0.27424111213099067
2012-01-18,0.259387869759653,1.3448239858160793,1.7295872947713065,4.046044584126829,0.9597089805681414,1.851292541821481,1.6233584917396904,4.138521616285473
2012-01-19,-0.32585112105074643,-0.11138047407102114,-0.20965055014174894,1.0271768764723355,-0.1658520196468949,0.32701140978974585,-0.1644466741252515,1.379332213233564
2012-01-20,0.572549401948752,3.7506004154744588,0.8587387269312075,0.4433286409790682,0.5927842327982269,4.874352346608157,0.8717650988357306,-0.07407407746109484
2012-01-23,0.8557033932979685,1.8610279856667855,1.9797527382495517,1.449194651689556,0.589290998505021,0.5581409838195217,1.8236408126703907,1.5806247104254822
